outage_id,node_id,start_date,duration_hours,severity
OUT00001,NODE0159,2024-01-06,21,Major
OUT00002,NODE0152,2023-12-04,51,Major
OUT00003,NODE0198,2023-12-18,2,Critical
OUT00004,NODE0167,2024-02-28,1,Minor
OUT00005,NODE0079,2024-02-06,5,Minor
OUT00006,NODE0010,2024-03-05,63,Major
OUT00007,NODE0103,2024-02-03,18,Minor
OUT00008,NODE0009,2023-10-07,39,Major
OUT00009,NODE0126,2024-03-21,28,Minor
OUT00010,NODE0063,2024-01-27,64,Minor
OUT00011,NODE0180,2024-02-11,4,Major
OUT00012,NODE0155,2024-03-11,55,Major
OUT00013,NODE0071,2023-10-23,32,Major
OUT00014,NODE0030,2024-03-14,17,Minor
OUT00015,NODE0139,2023-10-29,19,Minor
OUT00016,NODE0157,2024-03-29,52,Critical
OUT00017,NODE0191,2023-11-15,29,Minor
OUT00018,NODE0034,2023-10-16,46,Major
OUT00019,NODE0015,2023-10-06,8,Major
OUT00020,NODE0062,2024-01-24,55,Minor
OUT00021,NODE0141,2023-12-11,70,Minor
OUT00022,NODE0084,2024-03-13,14,Critical
OUT00023,NODE0016,2023-11-12,18,Minor
OUT00024,NODE0156,2023-10-12,18,Minor
OUT00025,NODE0118,2024-02-10,68,Major
OUT00026,NODE0156,2024-02-15,25,Minor
OUT00027,NODE0109,2023-10-29,65,Critical
OUT00028,NODE0195,2024-01-07,13,Minor
OUT00029,NODE0199,2023-11-10,39,Major
OUT00030,NODE0099,2023-10-17,25,Minor
OUT00031,NODE0172,2023-12-23,10,Major
OUT00032,NODE0033,2024-02-16,33,Minor
OUT00033,NODE0131,2024-01-04,9,Minor
OUT00034,NODE0052,2024-01-08,30,Minor
OUT00035,NODE0066,2023-12-23,11,Minor
OUT00036,NODE0056,2024-03-10,15,Critical
OUT00037,NODE0136,2023-10-18,41,Minor
OUT00038,NODE0040,2024-01-28,8,Critical
OUT00039,NODE0025,2023-12-26,43,Minor
OUT00040,NODE0142,2023-10-05,50,Major
OUT00041,NODE0080,2023-12-28,32,Major
OUT00042,NODE0164,2023-11-30,54,Minor
OUT00043,NODE0091,2024-03-15,31,Minor
OUT00044,NODE0025,2023-12-25,59,Major
OUT00045,NODE0129,2024-03-14,63,Major
OUT00046,NODE0111,2024-03-03,46,Critical
OUT00047,NODE0124,2024-02-04,43,Minor
OUT00048,NODE0135,2024-03-26,26,Minor
OUT00049,NODE0171,2023-11-03,54,Minor
OUT00050,NODE0098,2024-02-03,54,Minor
OUT00051,NODE0197,2023-12-06,23,Critical
OUT00052,NODE0053,2024-01-20,9,Major
OUT00053,NODE0139,2023-12-27,25,Major
OUT00054,NODE0161,2023-12-09,59,Minor
OUT00055,NODE0106,2024-01-20,25,Major
OUT00056,NODE0021,2023-11-04,5,Critical
OUT00057,NODE0040,2024-01-29,49,Minor
OUT00058,NODE0122,2024-02-14,1,Minor
OUT00059,NODE0023,2023-10-20,31,Minor
OUT00060,NODE0130,2024-02-16,50,Major
OUT00061,NODE0101,2024-03-03,40,Minor
OUT00062,NODE0164,2023-11-11,23,Minor
OUT00063,NODE0128,2023-12-29,8,Minor
OUT00064,NODE0060,2024-03-26,45,Minor
OUT00065,NODE0194,2024-01-23,10,Minor
OUT00066,NODE0064,2023-12-27,7,Minor
OUT00067,NODE0149,2024-02-03,48,Critical
OUT00068,NODE0183,2024-01-22,14,Critical
OUT00069,NODE0150,2024-02-17,16,Major
OUT00070,NODE0130,2024-03-28,48,Minor
OUT00071,NODE0056,2023-10-16,43,Minor
OUT00072,NODE0171,2024-02-28,41,Minor
OUT00073,NODE0039,2023-11-20,26,Minor
OUT00074,NODE0139,2023-12-23,38,Minor
OUT00075,NODE0154,2024-03-21,29,Minor
OUT00076,NODE0049,2023-11-27,62,Major
OUT00077,NODE0008,2024-01-01,42,Critical
OUT00078,NODE0058,2023-11-12,55,Minor
OUT00079,NODE0051,2024-03-16,65,Major
OUT00080,NODE0003,2024-01-14,60,Minor
OUT00081,NODE0159,2024-02-11,34,Critical
OUT00082,NODE0016,2023-12-07,71,Minor
OUT00083,NODE0174,2023-12-30,17,Critical
OUT00084,NODE0109,2023-12-14,42,Minor
OUT00085,NODE0107,2024-03-18,18,Minor
OUT00086,NODE0004,2024-02-29,19,Critical
OUT00087,NODE0004,2023-11-05,18,Major
OUT00088,NODE0114,2023-10-02,57,Minor
OUT00089,NODE0071,2024-01-08,72,Major
OUT00090,NODE0181,2023-12-05,42,Critical
OUT00091,NODE0056,2024-01-28,22,Minor
OUT00092,NODE0150,2023-11-23,43,Major
OUT00093,NODE0026,2024-01-01,14,Minor
OUT00094,NODE0083,2023-12-23,27,Minor
OUT00095,NODE0011,2023-11-26,38,Critical
OUT00096,NODE0012,2024-01-31,68,Critical
OUT00097,NODE0058,2023-11-06,61,Minor
OUT00098,NODE0040,2024-03-15,69,Minor
OUT00099,NODE0199,2024-03-20,1,Minor
OUT00100,NODE0057,2024-03-19,53,Major
OUT00101,NODE0155,2023-10-17,43,Minor
OUT00102,NODE0037,2024-02-27,47,Minor
OUT00103,NODE0115,2023-12-10,3,Minor
OUT00104,NODE0101,2024-01-21,59,Major
OUT00105,NODE0150,2024-02-04,49,Minor
OUT00106,NODE0133,2024-03-28,44,Major
OUT00107,NODE0003,2024-03-08,2,Critical
OUT00108,NODE0066,2024-03-22,22,Major
OUT00109,NODE0061,2024-01-06,63,Minor
OUT00110,NODE0137,2023-10-05,33,Major
OUT00111,NODE0062,2024-01-09,43,Critical
OUT00112,NODE0102,2023-11-27,44,Minor
OUT00113,NODE0073,2024-02-23,52,Minor
OUT00114,NODE0063,2023-10-19,12,Major
OUT00115,NODE0134,2024-01-05,52,Major
OUT00116,NODE0061,2023-10-27,13,Major
OUT00117,NODE0068,2023-10-27,7,Minor
OUT00118,NODE0032,2024-02-21,69,Major
OUT00119,NODE0011,2024-01-08,48,Minor
OUT00120,NODE0069,2023-10-10,41,Minor
OUT00121,NODE0170,2024-01-20,43,Critical
OUT00122,NODE0044,2024-01-15,40,Critical
OUT00123,NODE0037,2023-10-24,66,Minor
OUT00124,NODE0040,2023-11-14,20,Minor
OUT00125,NODE0127,2023-10-25,6,Minor
OUT00126,NODE0180,2023-10-23,8,Minor
OUT00127,NODE0176,2023-10-24,11,Major
OUT00128,NODE0141,2024-03-31,35,Major
OUT00129,NODE0197,2023-11-03,25,Minor
OUT00130,NODE0060,2024-02-16,13,Major
OUT00131,NODE0038,2023-11-09,63,Minor
OUT00132,NODE0093,2023-10-22,40,Minor
OUT00133,NODE0054,2023-12-08,44,Major
OUT00134,NODE0007,2024-01-03,4,Minor
OUT00135,NODE0128,2023-10-02,5,Minor
OUT00136,NODE0140,2024-02-08,26,Minor
OUT00137,NODE0161,2024-03-11,36,Minor
OUT00138,NODE0066,2024-03-27,13,Major
OUT00139,NODE0087,2023-10-05,17,Major
OUT00140,NODE0195,2024-01-23,18,Minor
OUT00141,NODE0136,2023-10-25,7,Minor
OUT00142,NODE0129,2024-03-09,39,Major
OUT00143,NODE0107,2023-10-24,36,Major
OUT00144,NODE0102,2023-12-26,25,Major
OUT00145,NODE0004,2024-03-21,15,Critical
OUT00146,NODE0019,2023-11-20,8,Critical
OUT00147,NODE0033,2024-01-31,28,Minor
OUT00148,NODE0086,2024-03-12,46,Minor
OUT00149,NODE0136,2023-10-29,18,Minor
OUT00150,NODE0146,2023-11-20,8,Minor
OUT00151,NODE0159,2023-12-02,7,Major
OUT00152,NODE0080,2024-03-24,20,Minor
OUT00153,NODE0146,2024-02-16,21,Critical
OUT00154,NODE0013,2023-12-26,61,Minor
OUT00155,NODE0072,2024-01-27,49,Minor
OUT00156,NODE0066,2024-01-12,10,Minor
OUT00157,NODE0005,2024-01-20,11,Minor
OUT00158,NODE0181,2023-10-30,29,Major
OUT00159,NODE0174,2024-02-08,58,Minor
OUT00160,NODE0083,2024-01-30,31,Critical
OUT00161,NODE0095,2024-01-18,22,Minor
OUT00162,NODE0176,2024-01-30,68,Minor
OUT00163,NODE0067,2024-01-12,10,Critical
OUT00164,NODE0189,2023-10-08,18,Minor
OUT00165,NODE0102,2023-11-14,36,Minor
OUT00166,NODE0016,2023-12-13,38,Critical
OUT00167,NODE0090,2023-10-30,33,Major
OUT00168,NODE0024,2024-02-13,33,Major
OUT00169,NODE0150,2024-03-01,67,Critical
OUT00170,NODE0130,2023-11-19,61,Major
OUT00171,NODE0189,2024-01-12,58,Major
OUT00172,NODE0045,2023-11-22,50,Major
OUT00173,NODE0012,2023-10-09,69,Major
OUT00174,NODE0115,2023-12-31,1,Minor
OUT00175,NODE0135,2023-10-28,49,Minor
OUT00176,NODE0184,2024-01-13,27,Minor
OUT00177,NODE0052,2024-03-23,27,Major
OUT00178,NODE0167,2023-11-15,11,Minor
OUT00179,NODE0093,2024-03-04,30,Major
OUT00180,NODE0135,2023-12-19,12,Minor
OUT00181,NODE0108,2024-01-03,38,Major
OUT00182,NODE0016,2024-02-05,22,Minor
OUT00183,NODE0115,2024-03-05,42,Major
OUT00184,NODE0117,2023-12-27,3,Minor
OUT00185,NODE0059,2023-11-25,36,Critical
OUT00186,NODE0081,2023-12-01,61,Minor
OUT00187,NODE0165,2023-10-08,59,Critical
OUT00188,NODE0141,2023-12-21,25,Minor
OUT00189,NODE0088,2024-01-30,10,Minor
OUT00190,NODE0118,2024-02-07,57,Major
OUT00191,NODE0141,2023-11-03,35,Major
OUT00192,NODE0137,2024-03-14,31,Minor
OUT00193,NODE0139,2024-02-16,21,Minor
OUT00194,NODE0098,2024-02-24,39,Major
OUT00195,NODE0165,2023-12-13,65,Major
OUT00196,NODE0073,2024-03-29,51,Critical
OUT00197,NODE0022,2023-10-01,44,Major
OUT00198,NODE0185,2023-12-19,19,Major
OUT00199,NODE0181,2024-01-27,16,Minor
OUT00200,NODE0200,2024-01-24,30,Critical
OUT00201,NODE0035,2023-10-26,50,Major
OUT00202,NODE0132,2023-12-27,20,Minor
OUT00203,NODE0097,2024-02-14,33,Minor
OUT00204,NODE0171,2024-03-21,40,Minor
OUT00205,NODE0177,2024-01-15,35,Major
OUT00206,NODE0080,2023-10-22,63,Major
OUT00207,NODE0172,2023-11-04,61,Minor
OUT00208,NODE0025,2024-01-10,23,Major
OUT00209,NODE0090,2024-02-24,47,Minor
OUT00210,NODE0156,2024-01-22,35,Minor
OUT00211,NODE0181,2023-12-17,11,Minor
OUT00212,NODE0061,2024-01-29,60,Major
OUT00213,NODE0114,2024-02-18,43,Minor
OUT00214,NODE0015,2024-02-29,38,Major
OUT00215,NODE0162,2023-12-14,27,Minor
OUT00216,NODE0154,2024-03-27,22,Minor
OUT00217,NODE0052,2023-12-31,54,Minor
OUT00218,NODE0174,2024-01-17,26,Major
OUT00219,NODE0083,2023-10-10,30,Major
OUT00220,NODE0011,2023-11-24,58,Major
OUT00221,NODE0007,2023-12-08,58,Major
OUT00222,NODE0077,2024-02-24,39,Critical
OUT00223,NODE0007,2024-02-23,33,Critical
OUT00224,NODE0140,2024-01-23,70,Major
OUT00225,NODE0084,2024-03-21,63,Minor
OUT00226,NODE0111,2024-01-17,49,Minor
OUT00227,NODE0008,2024-02-27,68,Critical
OUT00228,NODE0123,2024-02-08,63,Critical
OUT00229,NODE0193,2024-03-22,14,Major
OUT00230,NODE0099,2023-11-01,36,Major
OUT00231,NODE0175,2023-10-23,42,Minor
OUT00232,NODE0177,2023-10-26,50,Major
OUT00233,NODE0095,2024-02-18,21,Critical
OUT00234,NODE0123,2023-11-27,24,Minor
OUT00235,NODE0041,2024-01-19,48,Major
OUT00236,NODE0069,2023-10-09,65,Major
OUT00237,NODE0184,2023-10-03,17,Minor
OUT00238,NODE0165,2023-10-03,23,Major
OUT00239,NODE0001,2023-12-22,2,Minor
OUT00240,NODE0017,2023-10-01,16,Minor
OUT00241,NODE0072,2023-11-01,23,Critical
OUT00242,NODE0058,2024-01-29,15,Critical
OUT00243,NODE0053,2024-01-11,52,Minor
OUT00244,NODE0073,2024-02-08,18,Major
OUT00245,NODE0183,2023-11-13,50,Critical
OUT00246,NODE0007,2023-11-12,57,Minor
OUT00247,NODE0166,2023-11-05,49,Minor
OUT00248,NODE0021,2023-12-22,52,Major
OUT00249,NODE0119,2023-12-18,9,Major
OUT00250,NODE0185,2023-12-18,65,Major
OUT00251,NODE0064,2023-12-22,10,Critical
OUT00252,NODE0176,2023-12-17,51,Major
OUT00253,NODE0027,2023-11-18,8,Minor
OUT00254,NODE0180,2024-02-22,21,Major
OUT00255,NODE0035,2023-11-07,56,Critical
OUT00256,NODE0111,2023-10-16,32,Minor
OUT00257,NODE0100,2024-03-13,5,Major
OUT00258,NODE0123,2023-10-25,62,Critical
OUT00259,NODE0019,2024-03-13,31,Major
OUT00260,NODE0039,2024-03-30,26,Major
OUT00261,NODE0120,2023-12-22,47,Critical
OUT00262,NODE0071,2024-01-09,32,Minor
OUT00263,NODE0184,2023-12-05,30,Major
OUT00264,NODE0144,2023-10-06,48,Major
OUT00265,NODE0143,2024-03-19,52,Minor
OUT00266,NODE0018,2024-01-08,4,Minor
OUT00267,NODE0103,2023-10-28,60,Major
OUT00268,NODE0112,2023-11-24,47,Major
OUT00269,NODE0128,2024-03-02,21,Minor
OUT00270,NODE0065,2024-03-11,13,Minor
OUT00271,NODE0059,2024-01-25,14,Minor
OUT00272,NODE0013,2023-11-25,19,Major
OUT00273,NODE0037,2024-01-25,50,Major
OUT00274,NODE0163,2023-12-13,69,Minor
OUT00275,NODE0029,2023-11-25,22,Major
OUT00276,NODE0042,2023-10-09,70,Major
OUT00277,NODE0011,2024-02-07,8,Minor
OUT00278,NODE0146,2023-10-14,64,Minor
OUT00279,NODE0184,2023-12-01,42,Major
OUT00280,NODE0058,2023-12-14,56,Minor
OUT00281,NODE0151,2023-11-24,70,Minor
OUT00282,NODE0166,2024-03-07,56,Minor
OUT00283,NODE0057,2023-10-11,54,Minor
OUT00284,NODE0043,2023-12-14,34,Major
OUT00285,NODE0025,2024-02-07,16,Major
OUT00286,NODE0146,2023-11-01,27,Major
OUT00287,NODE0157,2024-01-14,9,Major
OUT00288,NODE0112,2024-01-04,45,Major
OUT00289,NODE0168,2024-03-14,72,Major
OUT00290,NODE0075,2024-02-20,21,Minor
OUT00291,NODE0130,2024-02-22,64,Major
OUT00292,NODE0134,2024-01-03,4,Major
OUT00293,NODE0015,2023-12-15,10,Minor
OUT00294,NODE0015,2024-01-23,23,Major
OUT00295,NODE0073,2023-12-05,62,Minor
OUT00296,NODE0030,2024-03-01,66,Minor
OUT00297,NODE0076,2023-11-08,51,Minor
OUT00298,NODE0126,2023-12-05,47,Major
OUT00299,NODE0174,2023-10-26,46,Minor
OUT00300,NODE0057,2023-10-27,30,Minor
OUT00301,NODE0037,2024-03-09,4,Minor
OUT00302,NODE0016,2023-12-26,36,Minor
OUT00303,NODE0172,2023-10-29,42,Critical
OUT00304,NODE0198,2023-12-12,36,Major
OUT00305,NODE0042,2023-12-22,7,Minor
OUT00306,NODE0127,2024-02-17,54,Major
OUT00307,NODE0039,2024-03-01,6,Critical
OUT00308,NODE0038,2023-11-13,8,Major
OUT00309,NODE0150,2023-11-26,4,Minor
OUT00310,NODE0188,2023-12-07,54,Major
OUT00311,NODE0199,2023-12-29,66,Major
OUT00312,NODE0045,2023-12-09,25,Minor
OUT00313,NODE0197,2024-01-08,55,Major
OUT00314,NODE0172,2023-11-10,55,Major
OUT00315,NODE0054,2024-01-30,43,Major
OUT00316,NODE0015,2024-03-22,19,Critical
OUT00317,NODE0091,2023-12-27,10,Minor
OUT00318,NODE0056,2023-10-12,8,Major
OUT00319,NODE0140,2023-10-13,35,Minor
OUT00320,NODE0168,2023-10-21,24,Minor
OUT00321,NODE0048,2023-11-27,39,Minor
OUT00322,NODE0037,2023-12-22,26,Minor
OUT00323,NODE0029,2024-02-18,57,Minor
OUT00324,NODE0032,2024-03-09,21,Minor
OUT00325,NODE0086,2023-11-10,37,Major
OUT00326,NODE0063,2024-03-02,68,Major
OUT00327,NODE0173,2024-03-07,68,Major
OUT00328,NODE0068,2024-03-17,11,Major
OUT00329,NODE0113,2023-10-08,49,Major
OUT00330,NODE0004,2023-10-04,24,Minor
OUT00331,NODE0176,2023-12-22,41,Major
OUT00332,NODE0043,2024-02-08,21,Minor
OUT00333,NODE0040,2023-10-10,30,Major
OUT00334,NODE0063,2024-03-06,48,Minor
OUT00335,NODE0055,2024-02-28,46,Minor
OUT00336,NODE0025,2024-01-16,38,Minor
OUT00337,NODE0157,2023-12-21,16,Critical
OUT00338,NODE0172,2023-12-09,72,Critical
OUT00339,NODE0071,2024-01-19,66,Minor
OUT00340,NODE0019,2024-02-29,28,Minor
OUT00341,NODE0187,2024-01-18,12,Minor
OUT00342,NODE0111,2024-01-24,10,Critical
OUT00343,NODE0092,2023-10-08,71,Major
OUT00344,NODE0181,2023-10-18,70,Major
OUT00345,NODE0182,2023-11-02,43,Minor
OUT00346,NODE0053,2023-10-25,40,Minor
OUT00347,NODE0165,2024-03-29,5,Major
OUT00348,NODE0129,2024-03-09,51,Critical
OUT00349,NODE0188,2024-02-12,21,Critical
OUT00350,NODE0189,2024-01-11,62,Critical
OUT00351,NODE0006,2023-12-18,26,Minor
OUT00352,NODE0117,2024-03-03,34,Critical
OUT00353,NODE0054,2024-03-28,15,Major
OUT00354,NODE0065,2024-03-29,72,Minor
OUT00355,NODE0127,2024-01-27,46,Minor
OUT00356,NODE0055,2024-03-05,5,Minor
OUT00357,NODE0101,2023-12-01,2,Minor
OUT00358,NODE0083,2024-03-30,44,Major
OUT00359,NODE0057,2023-11-19,43,Minor
OUT00360,NODE0012,2024-01-21,23,Major
OUT00361,NODE0031,2023-12-04,65,Minor
OUT00362,NODE0174,2024-03-01,11,Minor
OUT00363,NODE0031,2024-03-23,39,Major
OUT00364,NODE0192,2024-03-28,4,Minor
OUT00365,NODE0159,2024-01-31,57,Minor
OUT00366,NODE0032,2023-10-11,43,Major
OUT00367,NODE0185,2023-11-21,67,Critical
OUT00368,NODE0027,2024-03-17,20,Minor
OUT00369,NODE0126,2023-10-06,32,Minor
OUT00370,NODE0158,2023-11-12,19,Major
OUT00371,NODE0126,2024-02-09,44,Major
OUT00372,NODE0155,2024-03-10,66,Minor
OUT00373,NODE0094,2023-11-18,36,Major
OUT00374,NODE0004,2024-01-30,62,Major
OUT00375,NODE0164,2024-01-27,9,Minor
OUT00376,NODE0132,2024-01-25,40,Critical
OUT00377,NODE0190,2024-02-04,40,Major
OUT00378,NODE0157,2024-01-31,35,Major
OUT00379,NODE0066,2023-11-03,23,Major
OUT00380,NODE0011,2024-02-05,3,Minor
OUT00381,NODE0098,2023-12-01,1,Major
OUT00382,NODE0061,2024-03-20,29,Major
OUT00383,NODE0017,2023-10-14,4,Minor
OUT00384,NODE0125,2023-12-15,57,Major
OUT00385,NODE0173,2023-11-11,5,Minor
OUT00386,NODE0013,2024-03-19,29,Minor
OUT00387,NODE0186,2024-01-05,12,Minor
OUT00388,NODE0036,2023-12-15,40,Minor
OUT00389,NODE0145,2023-11-30,66,Major
OUT00390,NODE0066,2023-12-23,6,Major
OUT00391,NODE0138,2023-12-16,26,Major
OUT00392,NODE0006,2024-02-15,5,Minor
OUT00393,NODE0172,2024-02-25,47,Major
OUT00394,NODE0171,2024-01-12,38,Major
OUT00395,NODE0100,2023-12-05,29,Critical
OUT00396,NODE0159,2023-12-08,4,Major
OUT00397,NODE0112,2024-01-04,26,Major
OUT00398,NODE0145,2024-03-23,1,Minor
OUT00399,NODE0145,2023-12-16,53,Major
OUT00400,NODE0155,2023-11-19,23,Minor
OUT00401,NODE0140,2024-01-14,69,Minor
OUT00402,NODE0118,2023-12-31,72,Minor
OUT00403,NODE0165,2023-12-30,54,Major
OUT00404,NODE0167,2024-02-03,54,Minor
OUT00405,NODE0016,2024-01-29,64,Minor
OUT00406,NODE0116,2024-03-13,50,Major
OUT00407,NODE0079,2024-02-14,52,Major
OUT00408,NODE0036,2023-12-24,68,Minor
OUT00409,NODE0194,2023-12-06,49,Minor
OUT00410,NODE0129,2024-03-13,56,Minor
OUT00411,NODE0060,2024-03-19,56,Minor
OUT00412,NODE0190,2024-03-21,62,Major
OUT00413,NODE0095,2023-12-28,69,Major
OUT00414,NODE0102,2023-11-13,49,Critical
OUT00415,NODE0183,2023-10-14,51,Minor
OUT00416,NODE0117,2024-03-17,60,Major
OUT00417,NODE0170,2023-10-11,56,Major
OUT00418,NODE0150,2023-10-05,58,Major
OUT00419,NODE0009,2023-12-09,51,Major
OUT00420,NODE0004,2023-10-19,68,Minor
OUT00421,NODE0137,2024-02-20,69,Major
OUT00422,NODE0031,2023-10-26,50,Minor
OUT00423,NODE0172,2023-11-19,55,Minor
OUT00424,NODE0003,2023-11-07,67,Critical
OUT00425,NODE0002,2024-02-29,53,Major
OUT00426,NODE0173,2023-12-06,71,Critical
OUT00427,NODE0083,2023-11-09,65,Major
OUT00428,NODE0017,2023-11-15,52,Critical
OUT00429,NODE0060,2024-02-19,69,Major
OUT00430,NODE0129,2024-03-03,62,Minor
OUT00431,NODE0033,2024-03-13,67,Major
OUT00432,NODE0050,2024-01-08,66,Minor
OUT00433,NODE0159,2024-03-16,58,Minor
OUT00434,NODE0116,2024-03-29,71,Minor
OUT00435,NODE0072,2023-12-13,51,Critical
OUT00436,NODE0109,2024-03-25,57,Minor
OUT00437,NODE0124,2023-12-09,70,Critical
OUT00438,NODE0188,2023-12-26,55,Major
OUT00439,NODE0098,2024-03-11,68,Minor
OUT00440,NODE0173,2024-02-04,66,Major
OUT00441,NODE0127,2023-11-20,58,Major
OUT00442,NODE0104,2023-12-17,67,Major
OUT00443,NODE0108,2023-11-25,61,Minor
OUT00444,NODE0110,2023-12-08,58,Major
OUT00445,NODE0169,2024-03-20,58,Minor
OUT00446,NODE0178,2024-01-04,56,Major
OUT00447,NODE0134,2023-12-26,68,Minor
OUT00448,NODE0030,2024-01-26,70,Critical
OUT00449,NODE0119,2024-01-17,61,Minor
OUT00450,NODE0034,2024-01-31,59,Major
OUT00451,NODE0050,2023-10-28,65,Critical
OUT00452,NODE0143,2024-01-07,52,Minor
OUT00453,NODE0106,2023-10-17,56,Critical
OUT00454,NODE0125,2024-02-22,50,Minor
OUT00455,NODE0123,2024-02-20,67,Minor
OUT00456,NODE0054,2023-12-09,56,Minor
OUT00457,NODE0157,2024-01-22,64,Minor
OUT00458,NODE0110,2024-02-22,68,Minor
OUT00459,NODE0112,2024-01-02,61,Critical
OUT00460,NODE0033,2023-11-15,52,Minor
OUT00461,NODE0115,2023-10-14,56,Critical
OUT00462,NODE0012,2024-01-27,60,Minor
OUT00463,NODE0191,2024-03-22,54,Minor
OUT00464,NODE0156,2023-10-04,55,Minor
OUT00465,NODE0055,2024-01-17,68,Critical
OUT00466,NODE0007,2024-03-10,70,Minor
OUT00467,NODE0010,2023-10-10,70,Major
OUT00468,NODE0089,2024-01-04,52,Minor
OUT00469,NODE0152,2024-02-28,67,Minor
OUT00470,NODE0072,2024-01-06,57,Minor
OUT00471,NODE0193,2023-11-28,62,Major
OUT00472,NODE0045,2023-12-26,59,Minor
OUT00473,NODE0021,2023-10-20,72,Minor
OUT00474,NODE0101,2024-01-13,51,Minor
OUT00475,NODE0083,2023-10-15,67,Minor
OUT00476,NODE0008,2024-03-04,55,Critical
OUT00477,NODE0003,2024-03-30,67,Minor
OUT00478,NODE0191,2024-03-09,72,Critical
OUT00479,NODE0066,2023-11-26,58,Minor
OUT00480,NODE0181,2024-02-24,69,Critical
OUT00481,NODE0093,2023-10-02,70,Major
OUT00482,NODE0187,2024-03-02,69,Major
OUT00483,NODE0179,2023-11-13,58,Minor
OUT00484,NODE0158,2023-12-15,64,Minor
OUT00485,NODE0049,2024-03-28,53,Critical
OUT00486,NODE0016,2024-01-03,69,Minor
OUT00487,NODE0195,2024-02-15,60,Critical
OUT00488,NODE0185,2024-01-22,64,Minor
OUT00489,NODE0135,2023-10-31,49,Minor
OUT00490,NODE0139,2024-03-15,49,Minor
OUT00491,NODE0050,2023-10-18,56,Minor
OUT00492,NODE0120,2023-11-10,70,Major
OUT00493,NODE0089,2023-12-09,51,Critical
OUT00494,NODE0146,2024-02-03,67,Minor
OUT00495,NODE0116,2024-02-06,60,Major
OUT00496,NODE0028,2023-11-07,65,Minor
OUT00497,NODE0054,2024-03-10,58,Minor
OUT00498,NODE0145,2024-01-21,50,Major
OUT00499,NODE0187,2023-11-14,68,Minor
OUT00500,NODE0020,2023-12-07,58,Critical
